Monocrotophos,Cotton (sap-sucking pests),"Severe cholinergic poisoning, neurotoxicity, fatalities reported",Organophosphate - highly toxic acetylcholinesterase inhibitor,,
Pendimethalin,"Wheat, Rice (pre-emergence weed control)","Skin irritation, possible reproductive effects in high exposure studies",Dinitroaniline herbicide - disrupts microtubule formation; may have developmental toxicity in animals,,
Permethrin,"Cotton, Vegetables (insect control)","Skin irritation, paresthesia, dizziness",Pyrethroid - acts on sodium channels causing neuro-excitation,,
Phenthoate,"Sorghum, Rice, Groundnut (insect control)","Cholinergic symptoms, nausea, dizziness",Organophosphate - cholinesterase inhibition,,
Pretilachlor,Transplanted Rice (early post-emergence weed control),"Skin irritation, eye irritation, gastrointestinal upset at acute exposure",Chloroacetamide herbicide - interferes with lipid/auxin metabolism in plants; limited human toxicity data,,
Profenofos,"Cotton, Rice (insect control)","Headache, nausea, cholinergic-like symptoms",Organophosphate - inhibits acetylcholinesterase,,
Quinalphos,"Rice, Cotton (insect control)","Cholinergic symptoms, headache, nausea",Organophosphate - acetylcholinesterase inhibition,,
Temephos,Public health (mosquito larvicide),Low acute toxicity to humans at recommended concentrations; irritation possible,Organophosphate larvicide - inhibits acetylcholinesterase; formulated for water treatment at low concentrations,,
Thiamethoxam,"Rice, Cotton (seed treatment and foliar)","Potential neurodevelopmental effects, nausea",Neonicotinoid - agonist at nicotinic acetylcholine receptors; concerns for developmental neurotoxicity at high exposure,,
Triclopyr acid,"Non-crop woody weeds, forestry, fallow land (limited crop use)","Skin irritation,eye irritation, gastrointestinal upset",Phenoxy-like herbicide - synthetic auxin analog; human toxicity primarily irritation,,
Zinc phosphide,"Field rodent control in cereals (wheat, paddy)","Severe gastrointestinal distress, respiratory failure, cardiac effects",Reacts with stomach acid to produce phosphine gas which inhibits cellular respiration,,
Ziram,"Grapes, Other fruits (fungicide)","Skin irritation, possible endocrine/thyroid effects",Dithiocarbamate fungicide - metabolites may affect thyroid and act as irritants,,
